ErrorEntrenamiento ErrorValidacion ErrorTest
25.466666 23.6 24.349999
25.466666 23.6 24.349999
25.466666 23.6 24.349999
17.6 19.2 19.1
16.666667 15.2 15.25
14.933333 14.0 14.2
14.8 14.399999 13.05
11.866666 12.0 12.25
12.933333 12.4 11.75
13.066667 11.2 12.800001
14.666666 14.0 13.2
13.066667 14.399999 12.65
12.133333 12.4 12.5
13.2 11.6 13.1
12.800001 11.2 12.800001
10.933334 11.6 10.0
12.933333 12.0 13.75
11.466666 14.399999 13.8
12.666667 14.399999 14.5
11.866666 10.8 11.95
13.866666 12.800001 13.699999
12.0 11.6 13.850001
12.666667 15.2 14.9
10.933334 12.800001 14.55
11.866666 12.800001 14.95
12.933333 12.0 14.9
12.533334 13.2 15.85
12.800001 14.0 15.85
13.466667 16.4 17.299999
11.6 13.600001 15.899999
12.133333 14.399999 17.0
12.266666 15.2 16.65
9.333333 14.399999 15.25
10.133334 13.2 15.700001
11.2 16.0 16.0
11.733333 12.800001 13.4
10.0 15.2 16.3
11.466666 12.4 15.800001
11.333334 12.4 16.0
10.666667 15.2 15.85
9.2 16.8 15.3
10.0 16.0 16.9
10.266667 14.399999 15.800001
9.066667 13.2 16.05
9.6 12.0 14.55
9.466667 14.399999 15.899999
10.133334 17.6 16.7
8.8 16.4 15.85
8.8 14.8 15.099999
9.733333 13.2 15.6
9.2 13.600001 17.1
9.2 14.8 15.25
9.2 18.000001 16.8
9.733333 18.4 17.550001
8.933333 19.599999 17.550001
10.266667 19.599999 17.35
9.066667 17.6 19.65
9.733333 17.6 18.799999
8.533333 18.4 18.05
9.733333 16.4 18.65
9.6 20.0 18.5
10.0 17.6 18.9
9.466667 20.4 20.299999
10.266667 19.2 20.4
9.466667 20.8 19.35
9.866667 18.4 20.75
10.4 20.4 19.7
10.266667 16.8 20.100001
10.533334 19.599999 20.999999
10.4 17.6 21.5
10.8 20.4 20.299999
10.266667 22.8 22.8
12.4 19.2 21.2
12.933333 21.600001 22.9
11.6 22.400001 24.950001
10.4 21.2 22.849999
9.333333 19.2 21.600001
9.2 19.2 20.900001
8.0 17.200001 19.65
11.6 19.599999 21.85
8.8 20.8 21.1
8.933333 22.0 21.600001
10.266667 17.200001 20.85
11.733333 22.8 22.45
11.2 23.199999 22.3
10.0 22.0 21.85
10.133334 24.8 22.750001
9.733333 22.400001 23.0
9.6 22.0 23.649999
9.733333 22.400001 24.250001
9.6 21.2 23.199999
11.466666 26.800001 23.4
10.4 24.4 23.199999
10.933334 23.999999 23.5
10.266667 20.0 23.899999
10.533334 19.599999 23.549999
9.2 20.4 22.400001
10.4 26.800001 23.7
10.0 27.200001 25.7
12.133333 23.6 24.950001
10.933334 26.800001 24.85
11.466666 20.8 25.099999
9.866667 23.6 25.150001
11.6 23.199999 25.650001
10.0 23.999999 25.299999
11.866666 25.2 25.45
10.533334 18.799999 23.800001
9.6 23.199999 25.049999
10.4 30.399999 26.699999
11.333334 23.199999 24.85
11.866666 24.4 25.650001
11.066667 25.600001 25.099999
11.466666 23.999999 25.299999
10.0 26.800001 26.100001
11.866666 25.999999 27.8
10.266667 23.999999 26.949999
8.8 18.4 23.7
9.2 20.4 23.100001
10.666667 20.0 24.250001
10.4 19.599999 23.7
10.0 22.400001 25.2
11.066667 21.600001 24.55
9.6 22.0 24.5
7.866666 22.0 25.150001
10.8 21.600001 25.099999
11.066667 20.4 24.75
10.533334 20.8 24.2
9.6 21.2 26.050001
9.733333 20.8 26.050001
9.6 19.599999 24.4
10.133334 16.8 25.150001
9.066667 21.600001 25.2
9.6 20.0 24.950001
10.533334 21.600001 25.0
9.466667 19.2 25.25
10.4 22.8 25.350001
9.866667 22.0 25.999999
12.133333 23.6 25.299999
9.6 22.0 25.5
10.133334 23.199999 26.800001
11.333334 22.400001 27.35
10.0 22.8 27.200001
10.4 20.8 26.800001
9.466667 19.2 26.300001
9.2 19.2 26.750001
10.4 22.400001 26.6
10.266667 18.799999 27.75
9.866667 19.2 29.249999
10.4 21.600001 27.450001
