ErrorEntrenamiento ErrorValidacion ErrorTest
37.403509 34.0 39.390001
37.298244 37.333333 39.359999
40.245613 40.000001 41.119999
37.929824 38.666666 39.320001
37.789473 36.666667 39.610001
37.859648 39.333335 39.6
36.280701 39.333335 37.830001
31.894737 33.333334 33.849999
32.59649 34.0 34.66
32.385966 34.0 33.939999
30.807018 33.333334 33.28
32.070175 34.0 33.35
32.59649 37.333333 34.27
30.842105 35.333332 32.600001
29.649124 28.666666 31.459999
30.631578 31.333333 32.839999
29.894736 31.999999 32.449999
29.754385 24.666667 31.830001
28.771931 31.999999 30.309999
29.473683 32.666665 31.560001
29.964912 31.333333 31.45
29.719299 28.666666 31.86
28.947368 28.666666 30.989999
30.526316 31.999999 31.729999
30.666667 32.666665 31.59
29.719299 31.333333 31.330001
29.929826 30.000001 31.27
29.754385 33.333334 31.079999
29.543859 31.333333 31.729999
29.052633 29.333332 31.0
28.842106 28.0 30.469999
29.719299 31.333333 31.020001
28.280702 30.000001 30.559999
28.0 28.666666 30.610001
28.701755 30.666667 30.680001
28.421053 28.0 30.129999
28.842106 31.333333 31.020001
28.877193 30.666667 30.720001
28.63158 28.666666 30.649999
28.315789 30.000001 30.689999
29.122806 29.333332 31.709999
28.701755 31.999999 31.130001
28.45614 29.333332 30.37
28.526315 28.0 30.930001
29.017544 33.333334 31.36
28.45614 31.999999 31.119999
28.175437 30.000001 30.46
28.666666 26.666668 30.669999
27.438596 30.000001 30.35
28.175437 32.666665 30.96
27.473685 34.0 30.880001
27.824563 31.333333 30.48
28.421053 30.000001 31.34
27.789474 30.666667 30.770001
28.280702 29.333332 30.320001
28.45614 29.333332 31.25
27.859649 30.000001 30.610001
27.40351 30.666667 30.700001
28.315789 30.000001 30.39
28.245613 30.000001 31.200001
28.0 31.999999 30.649999
28.45614 31.333333 31.529999
27.438596 33.333334 30.950001
27.473685 28.666666 31.43
28.210527 28.0 31.0
27.157894 30.000001 30.82
28.0 27.333334 30.849999
27.36842 29.333332 30.899999
28.175437 30.000001 30.96
27.087718 27.333334 30.89
28.140351 31.999999 31.18
28.035086 30.000001 31.009999
28.596491 31.333333 31.18
27.333334 27.333334 31.420001
27.894738 33.333334 32.139999
27.754387 28.0 31.659999
27.789474 32.666665 31.310001
28.105262 31.999999 32.06
27.333334 31.333333 31.420001
28.035086 30.666667 31.7
27.333334 34.0 31.7
28.912282 35.333332 31.32
26.736844 29.333332 31.77
27.789474 30.000001 31.59
26.877192 29.333332 31.349999
27.824563 29.333332 32.11
27.298245 29.333332 31.400001
27.438596 31.333333 32.11
27.473685 30.000001 31.68
27.543861 26.666668 31.569999
27.333334 30.666667 32.31
27.438596 30.666667 31.799999
28.070176 33.333334 31.43
27.333334 34.666666 31.659999
27.192983 30.000001 31.670001
26.736844 32.666665 32.06
27.543861 30.000001 31.7
27.087718 28.666666 31.999999
27.228069 32.666665 31.380001
25.754386 28.666666 31.88
26.877192 34.0 31.420001
26.947367 33.333334 32.570001
27.508771 30.000001 31.650001
