ErrorEntrenamiento ErrorValidacion ErrorTest
25.066668 24.8 24.349999
17.6 16.8 15.6
23.199999 26.4 25.400001
14.533333 16.0 14.7
14.399999 14.399999 12.75
8.4 11.6 7.3
5.6 5.6 4.8
8.8 10.8 8.25
4.666667 7.2 4.65
6.266667 6.4 5.55
5.2 4.4 4.6
6.4 8.8 7.05
6.933333 10.8 6.05
4.533333 5.2 5.0
4.8 4.4 4.4
4.666667 7.6 4.3
4.533333 4.0 4.25
5.066667 3.6 3.55
4.533333 6.0 4.65
4.4 6.0 5.1
4.666667 4.0 4.4
4.133333 3.6 4.05
4.533333 6.4 4.8
3.6 6.0 4.4
3.466666 4.4 4.4
4.0 5.2 3.5
3.733333 5.2 3.7
3.733333 3.6 4.15
4.133333 6.8 4.35
4.133333 6.8 3.95
3.466666 3.6 4.4
4.0 3.6 4.95
3.6 7.6 4.8
3.2 5.6 3.75
4.0 3.2 4.55
4.266667 6.8 4.4
4.0 7.2 5.1
3.2 6.4 4.1
4.266667 5.2 5.05
4.0 6.0 4.9
2.666667 6.4 5.65
2.933333 5.2 4.6
3.466666 6.8 5.1
4.133333 5.6 4.9
3.6 5.6 4.9
4.666667 5.6 4.6
4.133333 5.6 6.0
3.466666 6.8 5.1
3.333334 5.6 4.35
3.2 6.0 6.0
2.666667 6.8 5.4
2.933333 5.2 6.1
4.0 6.4 5.4
3.6 6.8 5.55
4.133333 6.4 4.8
4.266667 6.0 5.6
3.333334 7.2 6.2
2.8 6.8 6.2
3.2 5.6 5.05
3.2 8.8 6.85
3.2 6.4 5.5
3.333334 6.4 5.25
4.133333 5.2 6.05
3.733333 6.4 7.7
2.8 5.6 7.0
3.2 8.4 5.15
3.333334 8.0 6.45
3.2 7.2 7.15
3.066667 8.4 6.65
2.8 5.6 5.65
3.466666 8.0 7.0
3.866667 8.8 6.8
3.066667 7.6 6.95
2.666667 4.8 7.3
3.6 8.0 6.95
2.666667 7.2 6.15
3.466666 6.0 6.6
3.466666 7.2 6.7
3.733333 6.8 7.95
3.333334 8.0 6.75
3.333334 6.8 6.85
2.666667 9.2 6.5
2.8 7.2 7.95
2.8 8.0 7.3
2.933333 7.2 7.5
3.333334 8.4 7.7
2.8 10.8 7.0
3.066667 7.2 6.95
3.466666 7.6 7.05
2.8 7.6 7.55
2.933333 8.8 7.4
3.2 6.4 7.75
2.133333 7.2 6.05
2.666667 10.4 8.8
3.333334 8.4 8.1
2.4 10.0 8.7
2.533333 7.6 7.55
2.933333 8.4 7.25
2.933333 8.4 7.55
2.666667 8.8 7.55
2.266667 10.0 7.4
2.666667 10.8 7.95
3.2 8.4 7.75
2.8 8.8 7.95
2.933333 9.6 8.9
2.933333 10.0 8.05
3.866667 7.6 7.45
2.666667 9.2 8.1
2.666667 10.0 8.05
2.8 9.2 8.4
2.666667 8.8 7.85
2.666667 8.8 8.45
2.933333 10.4 8.15
2.8 9.2 8.25
2.533333 8.4 8.2
3.333334 10.0 9.0
2.0 8.8 8.95
2.8 12.800001 9.55
3.2 8.0 8.5
2.933333 9.6 8.0
2.133333 6.4 8.8
3.066667 10.4 9.15
2.8 11.6 9.05
2.533333 9.2 9.85
2.533333 10.0 8.85
2.666667 9.2 9.25
2.666667 10.0 8.75
2.933333 10.8 8.6
2.666667 10.4 10.25
2.8 8.8 9.45
3.2 8.4 9.6
2.533333 10.8 7.95
2.933333 9.6 9.2
2.933333 10.8 9.0
2.4 12.800001 9.8
2.533333 10.8 9.1
2.8 8.4 9.2
2.8 9.2 9.1
2.8 13.600001 9.65
2.266667 11.6 9.35
1.6 8.4 8.95
2.266667 10.8 9.65
2.933333 14.399999 10.7
2.4 10.8 9.35
2.4 10.8 9.35
2.933333 11.2 9.75
2.4 11.6 10.8
2.4 9.2 10.3
2.4 10.0 10.15
2.266667 10.4 9.55
2.666667 10.0 9.55
2.8 10.4 10.6
2.4 13.2 10.65
2.933333 12.800001 9.35
2.266667 11.2 10.95
2.533333 10.0 9.6
2.8 14.399999 9.05
2.266667 14.0 10.05
2.8 7.6 11.5
2.666667 13.600001 10.4
2.533333 10.0 9.6
3.2 11.2 12.4
2.266667 13.2 11.05
2.666667 12.0 10.8
2.266667 13.2 10.75
