ErrorEntrenamiento ErrorValidacion ErrorTest
43.122807 47.333333 45.539999
46.91228 50.666666 49.000001
49.192983 51.333332 50.040001
45.543858 46.000001 46.689999
44.456139 44.666666 45.840001
46.000001 47.999999 47.61
46.807018 47.999999 47.870001
40.842104 34.666666 42.06
42.14035 35.333332 43.75
33.929825 28.0 34.88
41.438597 34.666666 42.590001
42.491227 36.000001 43.439999
41.649124 36.666667 42.53
40.105262 35.333332 41.429999
39.684209 34.0 41.139999
41.228071 35.333332 42.37
39.82456 33.333334 41.479999
39.85965 32.666665 41.530001
39.368421 34.666666 40.099999
39.964911 36.000001 41.09
31.964913 27.333334 33.149999
39.333335 44.0 41.060001
38.666666 46.666667 40.43
40.245613 44.0 40.889999
40.350878 44.0 41.09
39.22807 43.333334 40.709999
39.578947 46.000001 40.619999
39.578947 46.000001 40.889999
38.666666 44.666666 40.270001
39.22807 41.999999 40.189999
38.385963 44.666666 40.149999
39.192984 44.666666 40.360001
38.561404 44.666666 39.87
38.421053 41.999999 40.270001
38.421053 38.666666 40.23
38.456139 40.000001 39.750001
38.070175 41.999999 40.149999
38.561404 40.666667 40.020001
38.456139 42.666668 40.189999
38.140351 39.333335 39.96
38.736841 42.666668 40.990001
38.526314 42.666668 40.630001
31.368423 34.0 32.9
38.210526 39.333335 40.360001
38.666666 40.000001 40.509999
38.035089 44.0 40.380001
38.210526 43.333334 39.919999
30.701753 35.333332 33.01
37.859648 44.666666 39.94
37.859648 41.999999 40.099999
37.789473 44.666666 40.270001
37.824562 42.666668 40.380001
37.508771 46.000001 40.790001
38.385963 44.666666 40.239999
37.894738 42.666668 40.020001
37.508771 40.000001 40.48
37.473685 41.333333 39.680001
36.736843 42.666668 39.379999
38.491228 31.999999 39.89
38.491228 32.666665 40.540001
37.578946 32.666665 39.98
38.561404 33.333334 40.830001
38.17544 32.666665 40.39
37.017545 31.333333 40.61
38.210526 32.666665 40.059999
37.192982 30.000001 39.770001
38.210526 32.666665 40.43
37.929824 32.666665 39.98
37.929824 32.666665 40.05
36.842105 31.333333 39.96
38.385963 36.000001 40.790001
38.456139 37.333333 40.720001
38.59649 37.333333 40.740001
38.456139 36.666667 40.790001
37.403509 37.333333 40.84
38.245615 38.0 40.93
38.456139 36.666667 40.549999
37.578946 36.666667 40.82
38.491228 38.666666 41.09
37.438595 37.333333 40.86
36.666667 37.333333 41.11
38.315791 38.666666 41.150001
36.350876 41.333333 40.86
36.491227 46.666667 40.64
37.403509 43.333334 40.709999
37.719297 43.333334 40.560001
29.087719 37.333333 33.989999
37.684211 40.000001 40.630001
36.736843 41.333333 41.420001
37.017545 41.999999 40.790001
37.929824 43.333334 41.22
36.526316 42.666668 40.959999
37.929824 41.999999 40.889999
36.526316 46.000001 41.150001
36.666667 47.333333 40.799999
36.91228 46.666667 41.429999
37.403509 50.0 41.150001
36.94737 48.666668 41.589999
36.701754 45.333335 40.900001
35.649124 45.333335 41.069999
36.31579 50.0 40.979999
28.210527 42.666668 33.840001
35.614035 46.000001 41.080001
36.280701 46.666667 41.389999
35.473683 44.666666 41.61
36.842105 40.666667 40.689999
37.473685 39.333335 41.38
37.36842 36.666667 41.190001
37.228069 40.666667 41.52
37.298244 38.0 41.7
36.94737 40.000001 40.77
36.91228 40.000001 41.960001
36.526316 40.000001 41.45
36.14035 40.666667 41.49
37.438595 34.0 41.549999
36.842105 37.333333 40.990001
37.052631 37.333333 41.2
36.14035 41.333333 41.010001
36.631578 41.999999 40.799999
36.94737 39.333335 41.010001
35.964912 41.999999 41.190001
33.333334 38.666666 38.339999
36.561403 41.333333 41.420001
36.421052 43.333334 40.889999
35.649124 39.333335 41.460001
35.824561 40.666667 40.720001
35.824561 43.333334 40.270001
35.578948 40.000001 40.979999
35.789475 46.666667 41.339999
36.210525 45.333335 41.440001
35.85965 46.666667 41.09
36.210525 48.666668 41.479999
35.508773 44.0 41.45
35.964912 43.333334 41.420001
34.912279 46.000001 41.479999
35.263157 44.0 41.389999
36.000001 47.999999 42.01
35.578948 44.666666 42.309999
36.350876 44.666666 41.909999
35.964912 47.333333 41.13
34.912279 39.333335 40.270001
35.824561 41.333333 41.100001
34.947369 39.333335 41.409999
35.368422 43.333334 41.11
35.017544 39.333335 40.93
34.701756 46.666667 41.499999
35.789475 38.0 40.830001
34.771931 44.666666 41.09
35.68421 38.666666 41.170001
