ErrorEntrenamiento ErrorValidacion ErrorTest
37.508771 31.999999 39.390001
37.508771 31.999999 39.390001
37.578946 31.999999 39.42
40.526316 33.333334 41.119999
38.210526 31.333333 39.33
38.105264 31.999999 39.669999
37.473685 33.333334 39.039999
36.245614 36.666667 37.619999
31.929824 29.333332 33.719999
33.052632 28.666666 35.120001
31.719297 28.666666 32.820001
31.824562 29.333332 33.680001
31.754386 31.333333 33.039999
32.070175 28.666666 33.520001
31.192982 34.0 32.92
29.929826 37.333333 32.159999
30.421051 36.000001 32.499999
30.245614 31.999999 32.839999
29.403508 34.0 31.999999
29.473683 30.000001 30.829999
30.210528 31.333333 31.79
29.929826 30.666667 31.25
29.719299 34.666666 31.999999
29.403508 34.0 31.41
30.31579 34.0 31.529999
29.614034 35.333332 31.009999
28.982458 34.666666 30.8
29.85965 34.666666 31.600001
30.175439 31.999999 31.569999
28.912282 35.333332 31.09
29.052633 36.000001 31.299999
28.596491 35.333332 30.880001
29.122806 34.666666 30.770001
28.877193 31.999999 30.840001
28.491229 28.0 31.220001
29.192981 22.666667 30.89
29.333332 22.666667 30.87
29.263157 28.0 31.25
28.877193 23.999999 31.27
28.736842 24.666667 31.0
28.807017 23.999999 30.779999
29.473683 27.333334 31.799999
29.017544 26.666668 31.209999
28.491229 28.0 30.599999
28.526315 24.666667 30.96
29.122806 28.0 31.52
28.877193 26.666668 31.560001
28.877193 24.666667 30.82
28.736842 23.333333 30.599999
27.929825 24.666667 30.509999
28.140351 23.333333 30.809999
28.63158 25.999999 30.829999
28.350878 23.999999 30.630001
28.245613 34.666666 31.850001
29.052633 34.0 31.32
28.315789 33.333334 30.680001
28.771931 34.666666 32.010001
28.210527 31.999999 30.840001
27.40351 36.666667 31.079999
28.912282 31.999999 31.060001
28.561404 36.000001 31.909999
28.0 36.666667 31.029999
28.280702 36.666667 32.190001
28.175437 34.666666 31.259999
26.947367 36.666667 31.400001
27.578947 35.333332 31.099999
27.754387 35.333332 31.420001
27.754387 31.999999 31.25
27.824563 30.000001 31.110001
28.491229 34.666666 31.459999
27.824563 29.333332 31.32
28.280702 26.666668 31.400001
28.491229 29.333332 31.420001
28.666666 25.999999 30.720001
27.789474 30.000001 31.09
27.36842 28.666666 31.529999
27.894738 29.333332 31.43
27.40351 28.0 31.060001
27.508771 28.0 31.130001
27.684212 29.333332 31.490001
27.543861 28.666666 31.52
27.438596 27.333334 31.59
28.526315 30.000001 30.950001
27.087718 29.333332 30.89
27.789474 27.333334 31.420001
27.578947 30.666667 31.110001
27.333334 28.0 31.7
27.122808 29.333332 31.27
27.263159 29.333332 31.619999
26.596493 38.0 31.650001
27.087718 38.666666 31.14
27.40351 36.000001 31.459999
26.491228 36.000001 31.389999
28.105262 39.333335 31.470001
26.701754 37.333333 31.650001
26.842105 39.333335 31.5
26.456141 38.0 31.720001
27.122808 37.333333 31.75
26.526317 36.666667 31.909999
26.491228 36.666667 31.380001
26.245615 37.333333 31.560001
25.789472 37.333333 31.45
26.105264 34.666666 31.659999
27.122808 38.666666 31.86
26.385966 36.666667 31.549999
26.491228 38.666666 31.959999
26.736844 38.0 31.299999
26.526317 41.999999 32.249999
26.701754 39.333335 32.13
26.807016 39.333335 32.49
26.807016 39.333335 32.56
26.912281 41.999999 31.819999
26.526317 40.000001 32.049999
26.666668 36.000001 32.190001
25.999999 37.333333 32.280001
26.561403 39.333335 32.190001
26.350877 38.0 31.560001
26.596493 38.666666 31.999999
26.596493 42.666668 32.179999
26.807016 40.666667 32.24
26.701754 38.0 32.480001
26.561403 42.666668 32.429999
25.999999 36.666667 32.15
27.192983 40.000001 32.94
27.157894 32.666665 31.940001
25.929824 29.333332 32.74
26.596493 31.999999 31.819999
26.280701 34.0 31.560001
26.561403 27.333334 32.33
26.31579 31.333333 32.210001
26.421052 31.999999 32.56
26.31579 33.333334 31.63
26.842105 31.999999 32.769999
26.526317 29.333332 32.4
26.31579 32.666665 32.539999
25.859648 29.333332 32.56
25.614035 34.666666 32.440001
26.456141 30.000001 32.74
26.421052 33.333334 33.35
26.561403 28.666666 32.4
26.736844 32.666665 32.210001
26.105264 34.0 32.72
26.596493 35.333332 32.699999
27.157894 28.666666 33.320001
26.947367 31.333333 33.070001
26.877192 29.333332 32.72
25.54386 30.666667 33.329999
26.596493 30.000001 32.800001
26.526317 28.666666 33.46
26.982456 28.0 33.329999
27.228069 30.000001 32.820001
25.157896 28.0 33.660001
26.526317 28.666666 33.140001
26.77193 31.333333 33.19
26.982456 29.333332 33.51
26.807016 30.000001 33.039999
26.701754 31.333333 33.410001
26.947367 30.666667 33.790001
26.561403 34.666666 33.03
25.789472 27.333334 33.289999
26.421052 28.666666 33.17
26.175439 37.333333 33.320001
25.789472 34.0 33.000001
26.14035 34.666666 33.579999
26.035088 36.666667 33.559999
26.596493 37.333333 33.55
25.649121 36.666667 33.160001
25.964913 37.333333 33.469999
26.736844 36.666667 32.910001
25.508773 36.666667 33.270001
26.14035 30.666667 33.19
25.263157 39.333335 33.660001
25.403509 40.666667 33.1
26.105264 34.0 32.780001
25.333333 33.333334 33.019999
26.070175 33.333334 33.019999
25.54386 37.333333 33.629999
26.210526 33.333334 33.489999
26.105264 33.333334 33.51
25.438598 32.666665 33.809999
25.754386 28.666666 32.769999
24.736843 36.666667 32.929999
24.807018 29.333332 33.1
25.54386 30.666667 33.000001
24.526316 34.666666 33.050001
24.736843 32.666665 32.58
24.596491 35.333332 33.28
25.368422 30.000001 32.74
24.596491 31.333333 33.340001
25.052631 31.333333 33.28
24.526316 30.666667 32.72
25.438598 32.666665 32.600001
24.526316 32.666665 33.219999
24.77193 32.666665 32.969999
25.368422 36.000001 33.329999
24.982457 35.333332 33.899999
25.754386 38.666666 33.610001
25.298247 33.333334 34.419999
25.157896 34.0 33.6
