ErrorEntrenamiento ErrorValidacion ErrorTest
37.192982 38.0 39.390001
37.263158 38.666666 39.570001
40.140352 41.333333 41.11
37.824562 40.000001 39.320001
37.789473 36.666667 39.669999
36.877194 35.333332 38.609999
37.684211 36.666667 38.800001
32.456142 31.333333 34.34
32.561404 34.0 34.509999
31.298247 34.666666 32.58
31.08772 31.999999 33.35
32.561404 33.333334 34.05
32.561404 31.333333 33.989999
31.333333 27.333334 33.019999
30.245614 28.666666 32.170001
31.263158 29.333332 32.65
30.210528 28.0 32.530001
29.614034 27.333334 32.030001
29.85965 26.666668 30.91
30.385965 28.666666 31.999999
30.245614 28.0 31.34
30.561402 29.333332 32.38
30.140352 24.666667 31.580001
30.561402 28.0 31.52
30.842105 30.000001 31.920001
29.964912 28.0 31.420001
29.543859 31.999999 31.09
29.614034 30.666667 31.029999
28.807017 30.666667 30.770001
27.964911 31.999999 30.39
28.140351 34.0 30.3
28.701755 30.000001 30.329999
28.526315 31.999999 30.64
28.245613 31.999999 31.060001
28.561404 30.000001 30.540001
28.596491 30.000001 30.489999
28.807017 29.333332 31.130001
28.105262 33.333334 30.8
28.350878 31.999999 30.950001
28.175437 33.333334 30.599999
28.912282 34.0 31.560001
28.877193 31.999999 30.720001
27.684212 33.333334 30.199999
28.070176 34.666666 31.099999
28.280702 32.666665 30.82
28.210527 34.0 30.71
27.824563 32.666665 30.000001
28.105262 34.0 30.08
27.017543 35.333332 30.070001
27.438596 32.666665 30.270001
27.824563 35.333332 30.809999
28.350878 40.000001 31.099999
27.719298 37.333333 31.36
28.280702 38.0 31.119999
28.0 37.333333 30.8
27.859649 36.000001 31.23
27.964911 40.000001 30.919999
27.263159 39.333335 30.71
28.982458 35.333332 30.62
28.280702 38.0 31.240001
28.140351 40.000001 31.16
28.350878 35.333332 32.049999
27.824563 39.333335 30.950001
27.298245 30.000001 31.200001
27.859649 31.333333 30.950001
26.877192 31.999999 30.689999
27.684212 33.333334 31.169999
27.578947 32.666665 30.579999
27.824563 33.333334 30.849999
27.649122 28.666666 30.809999
27.649122 31.333333 31.240001
28.0 32.666665 31.099999
28.280702 31.999999 31.09
27.824563 30.666667 30.809999
27.157894 31.333333 31.5
28.105262 30.666667 31.299999
28.175437 33.333334 30.469999
27.192983 31.333333 30.98
28.035086 31.999999 31.189999
27.894738 21.333334 30.939999
28.0 21.333334 31.61
28.280702 22.666667 31.060001
27.40351 22.0 30.880001
27.964911 21.333334 30.989999
28.035086 23.999999 31.5
28.0 23.333333 31.41
27.122808 28.0 31.169999
28.105262 22.666667 31.349999
28.035086 22.0 31.95
27.473685 20.666666 30.96
28.245613 25.333333 32.069999
27.122808 24.666667 31.41
28.666666 22.0 30.829999
27.719298 32.666665 31.819999
27.649122 29.333332 31.799999
26.701754 32.666665 32.339999
26.982456 33.333334 32.409999
28.035086 33.333334 31.619999
26.912281 31.333333 32.010001
27.228069 30.666667 32.089999
27.087718 32.666665 32.22
26.491228 33.333334 32.260001
26.175439 34.666666 32.229999
27.333334 30.666667 32.499999
26.947367 34.0 32.409999
27.122808 30.666667 32.4
27.649122 34.666666 32.269999
27.017543 34.0 32.550001
27.122808 33.333334 32.890001
27.333334 36.000001 32.229999
27.052632 31.333333 31.999999
26.982456 33.333334 32.139999
26.701754 31.999999 32.229999
26.105264 31.999999 32.249999
27.192983 35.333332 32.06
26.912281 34.666666 31.819999
26.912281 30.666667 31.900001
26.807016 34.0 32.339999
27.087718 36.000001 32.139999
27.333334 34.666666 32.94
26.666668 34.0 32.460001
26.666668 31.999999 32.2
27.614036 34.0 33.17
27.36842 36.666667 32.449999
26.070175 36.000001 33.059999
26.701754 37.333333 32.74
26.736844 36.000001 31.54
26.631579 34.666666 32.38
27.192983 36.000001 32.92
27.36842 39.333335 32.58
26.561403 38.0 32.120001
27.122808 36.000001 32.910001
26.701754 34.0 32.92
26.807016 35.333332 33.090001
26.210526 34.0 32.879999
25.719297 38.666666 33.149999
27.017543 39.333335 33.340001
26.526317 34.0 33.8
26.736844 39.333335 33.360001
26.701754 37.333333 33.21
26.701754 37.333333 32.769999
26.14035 41.333333 33.610001
27.298245 36.000001 33.489999
26.596493 37.333333 33.399999
26.701754 36.666667 33.219999
25.824562 36.666667 32.960001
26.350877 38.666666 33.149999
25.684211 38.0 33.08
26.982456 31.333333 33.71
